,DATE,CORESTICKM159SFRBATL,Inflation_change
1970-01-31 00:00:00.000000000,1968-01-01,3.65186106,
1970-01-31 00:00:00.000000001,1968-02-01,3.673819411,0.0060129207106254245
1970-01-31 00:00:00.000000002,1968-03-01,4.142163975,0.12748165100268705
1970-01-31 00:00:00.000000003,1968-04-01,4.155828095,0.003298787803300396
1970-01-31 00:00:00.000000004,1968-05-01,4.088245437,-0.016262139928576613
1970-01-31 00:00:00.000000005,1968-06-01,4.545569347,0.11186312491443484
1970-01-31 00:00:00.000000006,1968-07-01,4.753076334,0.04565038417837619
1970-01-31 00:00:00.000000007,1968-08-01,4.9466066,0.04071684366094175
1970-01-31 00:00:00.000000008,1968-09-01,4.948246979,0.000331617032169218
1970-01-31 00:00:00.000000009,1968-10-01,5.182592347,0.047359270665862985
1970-01-31 00:00:00.000000010,1968-11-01,5.399387944,0.04183149715132317
1970-01-31 00:00:00.000000011,1968-12-01,5.706347843,0.056850869428840545
1970-01-31 00:00:00.000000012,1969-01-01,5.746196961,0.006983296338810341
1970-01-31 00:00:00.000000013,1969-02-01,5.749956071,0.0006541909415067604
1970-01-31 00:00:00.000000014,1969-03-01,6.125157849,0.06525298165186633
1970-01-31 00:00:00.000000015,1969-04-01,6.505620421,0.06211473751033436
1970-01-31 00:00:00.000000016,1969-05-01,6.780633974,0.04227322456629379
1970-01-31 00:00:00.000000017,1969-06-01,6.375966005,-0.05967996068681458
1970-01-31 00:00:00.000000018,1969-07-01,6.389268621,0.0020863687148846566
1970-01-31 00:00:00.000000019,1969-08-01,6.414746498,0.003987604608806095
1970-01-31 00:00:00.000000020,1969-09-01,6.834758299,0.06547597806568839
1970-01-31 00:00:00.000000021,1969-10-01,6.560106336,-0.04018459043975042
1970-01-31 00:00:00.000000022,1969-11-01,6.437390535,-0.0187063737559513
1970-01-31 00:00:00.000000023,1969-12-01,6.402163808,-0.005472205982916867
1970-01-31 00:00:00.000000024,1970-01-01,6.592370014,0.0297096749949326
1970-01-31 00:00:00.000000025,1970-02-01,7.053805927,0.0699954511078813
1970-01-31 00:00:00.000000026,1970-03-01,6.993096123,-0.008606673422587363
1970-01-31 00:00:00.000000027,1970-04-01,6.817838113,-0.025061576005452557
1970-01-31 00:00:00.000000028,1970-05-01,6.947734731,0.01905246440984243
1970-01-31 00:00:00.000000029,1970-06-01,7.151974844,0.02939664810297149
1970-01-31 00:00:00.000000030,1970-07-01,7.00787567,-0.020148165666562523
1970-01-31 00:00:00.000000031,1970-08-01,7.114872285,0.015268052693634626
1970-01-31 00:00:00.000000032,1970-09-01,7.081263039,-0.004723801728789501
1970-01-31 00:00:00.000000033,1970-10-01,7.057638255,-0.0033362387288662365
1970-01-31 00:00:00.000000034,1970-11-01,7.327620064,0.038253846293231586
1970-01-31 00:00:00.000000035,1970-12-01,7.342681298,0.002055405966528534
1970-01-31 00:00:00.000000036,1971-01-01,7.014858012,-0.044646263768698735
1970-01-31 00:00:00.000000037,1971-02-01,6.329604979,-0.09768594486556526
1970-01-31 00:00:00.000000038,1971-03-01,5.50160847,-0.1308132990521651
1970-01-31 00:00:00.000000039,1971-04-01,5.306250794,-0.03550919282338527
1970-01-31 00:00:00.000000040,1971-05-01,5.060279237,-0.04635505680925056
1970-01-31 00:00:00.000000041,1971-06-01,5.239199701,0.035357824266250226
1970-01-31 00:00:00.000000042,1971-07-01,5.165044197,-0.014153975460382995
1970-01-31 00:00:00.000000043,1971-08-01,4.913620811,-0.04867787697654813
1970-01-31 00:00:00.000000044,1971-09-01,4.672385308,-0.04909526238979456
